years_of_experience,rating,completion_rate,total_trips,completed_trips,region_familiarity,on_time_delivery_rate,avg_speed_kmh,accidents_last_3_years,license_type,night_shift_capable,last_medical_check_months,training_courses_completed,avg_trip_distance_km,score
0,2.9,0.788,42,33,1,0.655,58.4,2,A,0,35,3,62.3,47.36
0,3.4,0.759,18,13,1,0.665,77.9,3,C,1,22,3,127.3,46.2
9,4.1,1,222,222,1,0.98,95.3,0,C,0,8,6,169.5,91.48
7,4,0.895,152,136,1,0.874,68.2,0,B,1,21,5,102.4,86.65
4,3.9,0.757,143,108,1,0.83,93.6,1,B,0,8,2,97.4,76.81
1,3.3,0.885,78,69,1,0.801,47.1,0,A,0,5,3,148.6,67.7
4,3.5,0.803,95,76,1,0.766,61.3,1,B,1,21,2,134.8,67.13
4,3.6,0.786,133,104,1,0.835,81.7,2,C,0,27,3,96.2,75.64
1,3.3,0.901,66,59,0,0.772,75.3,4,A,0,5,2,114.8,40.75
4,3.5,0.852,111,94,0,0.773,70.9,3,A,0,21,5,74.2,48.95
3,3.5,0.856,59,50,0,0.801,56.1,0,B,0,8,4,87.4,60.78
6,4.5,0.898,164,147,0,0.788,60.5,1,B,0,22,6,58.1,66.71
6,4.1,0.852,182,155,1,0.881,65.3,0,C,1,18,6,146.1,84.9
0,3.1,0.751,41,30,1,0.736,52.1,2,B,1,4,3,45,52.16
3,3.8,0.8,123,98,0,0.776,71.1,2,A,1,4,2,101.6,55.6
6,3.8,0.942,163,153,1,0.771,72.9,2,B,0,15,6,81.6,74.49
4,4.1,0.845,77,65,1,0.859,57.1,1,A,0,27,5,118,72.91
9,4.4,0.968,187,181,1,0.951,74.2,0,C,1,21,5,149.8,91.96
6,3.9,0.858,165,141,1,0.84,42.2,0,B,0,4,5,83.8,88.71
1,3.5,0.756,38,28,1,0.711,70.6,3,A,1,11,3,73.7,52.03
0,2.6,0.708,65,46,0,0.661,73.6,1,A,1,19,0,84,34.64
6,3.5,0.894,166,148,0,0.835,63.1,1,B,1,19,4,141.4,66.98
0,2.7,0.865,44,38,0,0.773,55.6,2,A,0,27,0,127.5,37.37
5,3.8,0.804,120,96,0,0.781,75.6,1,C,0,28,6,156.5,59.63
10,5,0.942,249,234,1,0.926,81.3,0,C,1,5,6,139.1,97.55
5,4.7,0.779,168,130,1,0.793,81.8,1,B,1,25,3,98.8,76.89
3,3.8,0.793,122,96,1,0.762,60.2,4,B,0,3,2,61.1,68.61
6,4.1,0.875,155,135,1,0.816,66.1,0,C,1,26,3,97.7,82.63
4,3,0.748,93,69,1,0.764,68.4,0,B,0,10,3,137.8,66.03
5,3.6,0.847,153,129,0,0.837,59.7,0,A,1,24,4,72.3,57.54
10,4.1,0.875,207,181,1,0.874,77.1,0,B,1,29,6,155.4,88.78
3,3.3,0.851,65,55,1,0.777,56.9,0,C,0,7,4,95,67.34
11,4.4,0.922,246,226,1,1,86.5,0,C,1,23,8,145.3,93.43
10,4.2,0.963,237,228,0,0.943,68.8,0,A,0,27,6,120.9,77.14
2,2.6,0.793,111,88,1,0.703,71,1,A,0,9,1,39.2,55.88
0,3.5,0.712,38,27,1,0.636,82.5,2,B,0,3,0,41.2,48.91
1,2.9,0.719,68,48,0,0.646,71.6,3,B,0,13,2,85.5,35.78
0,3.3,0.685,72,49,1,0.762,67.1,6,B,0,6,2,97.9,51.46
1,4.1,0.825,38,31,1,0.791,50.1,3,A,1,21,1,136.4,58.81
6,3.5,0.99,183,181,0,0.817,90.7,0,C,1,19,5,138,71.74
0,2.2,0.802,23,18,0,0.726,78.4,1,B,0,25,2,97.8,33.64
3,3.4,0.905,60,54,0,0.862,67.6,1,A,0,4,1,152.2,52.39
9,4.7,0.959,176,168,1,0.924,73.9,0,C,0,22,6,162.1,92.91
0,4,0.754,54,40,1,0.677,55.2,1,A,1,5,3,109.5,60.78
8,3.7,0.952,160,152,1,1,98.5,0,B,1,1,5,132.6,90.37
2,3.6,0.783,110,86,1,0.651,77.4,2,B,1,17,3,117.6,60.22
1,3.1,0.771,44,33,1,0.856,57.4,2,A,0,9,2,94.3,50.8
7,4,0.865,162,140,1,0.865,88.7,0,C,1,9,4,128.7,84.05
6,5,0.854,113,96,1,0.905,90.1,0,B,1,24,6,174.4,87.6
9,3.7,0.936,220,205,1,0.859,78.2,1,C,1,10,8,115.9,91.76
7,4.1,0.842,188,158,1,0.819,71.4,0,B,1,20,7,110.2,87.61
8,4.3,0.934,218,203,1,0.847,65.1,1,C,1,17,6,179.3,90.05
2,3.9,0.851,58,49,1,0.762,76.5,0,A,1,13,3,125.1,68.17
1,3.4,0.811,28,22,0,0.752,61.4,2,A,1,29,1,88.4,43.1
7,4.2,0.972,175,170,1,0.947,69.9,1,B,0,23,6,146.2,89.37
8,4,0.953,171,162,1,0.821,76.9,0,B,0,27,7,159.5,90.82
11,4.6,0.983,225,221,1,0.978,71.7,0,C,1,18,9,179,94.67
4,3.5,0.838,102,85,1,0.844,89.3,0,B,0,18,5,119.2,71.84
3,3.8,0.838,65,54,0,0.835,81.1,1,C,0,9,1,78.8,57.89
8,4,0.915,192,175,1,0.873,77.9,1,B,1,3,5,181.1,91.12
3,3.7,0.822,85,69,1,0.755,59.3,1,C,1,7,2,97.9,67.89
10,4.4,0.898,210,188,1,0.922,70.4,0,C,1,15,8,130.3,98.99
9,4.7,0.782,202,157,0,0.883,68.4,0,B,1,30,5,156,75.4
4,3.7,0.87,131,113,0,0.874,56.2,2,B,1,9,3,122.3,55.73
7,3.3,0.928,194,180,1,0.82,79.4,1,C,1,27,4,147.9,85.01
7,4.5,0.817,187,152,1,0.808,67.8,0,B,1,18,4,165.2,83.38
1,3,0.824,91,74,0,0.674,58.1,2,C,0,31,2,76.6,40.58
10,4.1,0.887,245,217,0,0.944,70.2,0,A,1,17,6,158,72.71
4,3.4,0.816,78,63,1,0.848,83,3,C,0,6,3,86.7,63.43
8,4.7,0.955,203,193,1,0.836,67.9,0,B,1,25,6,151,94.02
3,2.7,0.771,96,74,0,0.765,84.7,1,B,0,31,2,78.2,48.86
9,5,0.853,195,166,1,0.946,75,0,C,1,29,5,134.3,89.95
3,4,0.911,84,76,1,0.842,54.6,1,B,1,9,1,133.5,77.08
0,3.3,0.773,39,30,1,0.746,70.6,0,A,0,1,3,84.1,52.34
10,4.4,0.979,251,245,1,0.891,90.6,0,B,1,16,8,202.7,94.91
1,3.4,0.714,51,36,1,0.746,56.2,4,B,0,23,2,123.3,52.85
3,3.8,0.745,92,68,0,0.744,70.3,2,B,1,8,4,110.5,51.95
11,4.8,0.884,243,214,1,0.994,85.3,0,B,1,12,7,178.6,97.88
11,4.7,0.906,243,220,1,0.969,82.6,0,B,1,10,7,160.8,85.94
5,3.8,0.778,117,91,1,0.759,67,2,C,0,16,3,151.3,70.34
6,3.8,0.88,183,161,0,0.862,84.6,1,C,1,24,5,138.9,66.58
4,3.6,0.856,79,67,1,0.845,68,2,A,0,8,2,139.3,74.36
2,3.4,0.762,98,74,0,0.715,60.7,4,A,0,11,4,76.6,43.31
3,4,0.78,90,70,0,0.77,48.3,1,A,0,26,1,63.2,52.11
6,4.1,0.827,143,118,1,0.765,52.9,2,C,1,7,4,143.1,81.05
7,2.9,0.817,173,141,1,0.875,78.1,2,C,0,15,5,157.1,73.73
8,4.4,0.744,155,115,1,0.841,76.1,0,A,1,15,7,146.3,90.22
8,4.2,0.885,149,131,1,0.932,87.6,0,C,0,3,5,161.4,91.55
1,3.3,0.772,83,64,0,0.751,80.1,1,A,1,16,3,62.4,43.86
4,3.5,0.818,90,73,0,0.773,68.1,0,A,1,15,4,140.2,59.97
0,3.6,0.729,56,40,0,0.651,76.4,2,C,0,25,3,115.2,44.66
5,4.2,0.889,100,88,0,0.779,65.8,0,C,0,33,6,150.6,66.59
4,3.4,0.956,86,82,1,0.809,69.2,2,C,1,14,5,115.7,65.32
9,4.4,0.861,237,204,1,0.941,76.4,0,C,0,24,6,187.6,89.1
3,3.2,0.891,88,78,1,0.709,88.4,2,B,0,11,3,69.7,70.24
1,2.8,0.812,43,34,1,0.685,51.2,1,C,0,3,0,105.2,54.86
1,3.1,0.795,82,65,1,0.775,67.2,3,B,0,9,2,109.5,52.21
7,4.4,0.858,204,175,1,0.926,67.1,1,B,0,6,5,151,89.47
6,4.3,0.858,175,150,0,0.792,70.4,0,B,0,31,5,99.8,67.27
1,3.5,0.851,64,54,0,0.696,62.4,3,C,0,16,2,94.9,41.37
1,3.6,0.737,73,53,0,0.785,67.4,1,C,0,11,3,80.3,42.64
7,4.2,0.862,194,167,0,0.855,91.7,1,C,0,17,7,77.3,70.04
0,2.9,0.842,60,50,0,0.683,87.8,4,B,1,3,1,44.7,35.94
8,4.3,0.938,189,177,1,0.954,84.9,0,A,1,19,7,178.8,93.04
7,4.3,0.819,162,132,1,0.873,63.8,1,C,0,24,5,124.1,85.93
1,3.6,0.785,37,29,1,0.766,64.4,1,B,0,8,0,119.7,58.95
1,3.8,0.83,84,69,0,0.7,69.6,1,A,0,2,2,122.3,45.77
11,4.8,0.963,229,220,1,0.983,76.6,0,C,1,23,6,184.4,100
3,3.7,0.87,86,74,1,0.853,66.2,3,C,1,30,1,85.6,63.46
3,4,0.84,122,102,1,0.814,68.6,0,A,1,25,3,132.3,70.67
8,4.1,0.917,207,189,1,0.942,86.3,0,C,1,7,7,150.4,86.14
10,4,0.934,242,226,1,1,86.4,0,C,1,28,6,161.3,91.68
11,4.4,1,204,204,1,0.996,74.2,0,C,1,17,8,140.7,92.84
7,3.7,0.854,166,141,1,0.83,82.6,0,C,1,32,4,121,85.69
3,3.3,0.823,129,106,0,0.82,90.2,3,A,1,1,1,77.1,50.19
1,3.3,0.743,35,26,1,0.661,48.3,3,C,0,27,2,116.8,62.53
8,3.8,0.828,163,134,1,0.858,71.8,0,B,0,7,7,190,85.81
5,3.7,0.864,154,133,0,0.855,66.3,1,C,1,3,4,147.7,66.77
4,2.9,0.798,98,78,1,0.626,72,3,B,0,30,4,118,58.88
10,4.5,0.913,247,225,1,0.943,58.1,0,B,1,1,7,150.8,97.18
1,3.3,0.875,97,84,1,0.771,82.8,2,B,1,34,2,102.3,64.43
4,3.3,0.913,150,136,0,0.765,71.6,3,A,1,33,4,99.5,52.15
0,3.5,0.891,29,25,1,0.759,68.6,2,A,0,16,1,79.1,52.19
4,4,0.916,124,113,1,0.832,73.2,2,A,1,11,3,87.4,74.15
0,2.6,0.9,47,42,0,0.747,58.8,1,B,0,8,3,99.5,38.73
1,3,0.815,60,48,0,0.797,74.9,3,C,0,1,2,109,44.72
1,3,0.748,63,47,1,0.762,66.6,1,C,1,14,2,115.3,56.87
6,3.5,0.812,157,127,1,0.86,49,0,C,1,30,5,144.7,82.21
7,4.4,0.945,170,160,1,0.835,74.2,0,C,1,21,7,150.6,91.69
5,3.7,0.851,111,94,0,0.82,69.2,0,A,0,21,4,88.7,66.65
11,4.4,0.936,259,242,1,1,89.9,0,C,1,34,8,135.4,92.4
3,2.8,0.793,60,47,1,0.757,101.9,3,C,1,26,2,113.9,59.27
2,3.7,0.786,102,80,0,0.825,72.5,1,A,0,14,4,129,56.38
9,3.8,0.922,175,161,1,0.949,103.9,0,C,1,35,5,144,88.71
2,3.5,0.755,108,81,1,0.823,59.8,1,B,0,18,2,96.2,61.06
11,4.6,0.943,219,206,1,0.905,74,0,C,0,20,9,168.5,99.28
0,3.7,0.856,54,46,0,0.724,62,2,B,1,9,0,24.7,41.47
11,4,0.823,242,199,1,0.919,86.6,0,C,1,33,8,175.2,89.88
0,2,0.703,62,43,1,0.716,57.3,4,A,0,4,2,63.5,47.52
9,4.3,0.937,241,225,1,0.883,59.2,0,A,1,4,6,170.3,97.38
5,4.5,0.916,115,105,1,0.76,72.8,2,C,1,16,3,119.1,77.6
11,5,0.906,220,199,1,0.966,67.8,0,B,1,26,9,162.6,100
0,3.3,0.68,59,40,0,0.661,78.4,3,A,1,6,2,75.3,34.77
5,3.6,0.92,123,113,1,0.818,80.2,1,C,0,22,5,110.2,80.06
11,4.8,0.889,226,200,1,0.907,72.4,0,C,1,7,6,127.2,92.58
5,3.4,0.83,168,139,1,0.821,78,1,B,1,30,6,148.6,75.36
6,4.1,0.878,129,113,1,0.794,67.4,3,A,0,10,5,109,81.12
7,4.2,0.842,148,124,1,0.845,74.9,0,C,0,15,6,122,81.96
4,4.1,0.791,118,93,0,0.744,70.5,0,B,0,6,3,114.4,63.93
6,5,0.819,157,128,0,0.799,70,1,B,0,24,6,94.5,71.15
5,3.9,0.941,111,104,0,0.866,82.5,1,C,1,2,5,105,71.18
10,4.2,0.974,257,250,1,0.982,66.6,0,C,1,15,6,217.5,96.45
0,3.2,0.809,18,14,0,0.702,71.4,3,C,0,21,2,90.1,34.03
2,2.7,0.698,89,62,0,0.769,71.7,0,A,1,18,4,70.3,43.57
11,4.2,0.959,231,221,1,0.914,64.6,0,C,1,5,7,105.6,91.98
9,4.1,0.929,170,157,0,0.841,69,0,C,1,25,7,182,75.49
4,3.5,0.771,96,74,1,0.712,57.9,1,B,0,10,2,81.6,73.77
6,4,0.875,159,139,1,0.793,69.6,1,A,1,23,5,111.7,83.76
2,3.1,0.86,49,42,0,0.704,68.6,1,C,1,24,1,83.5,42.74
2,3.9,0.836,67,56,0,0.863,56.9,1,B,1,10,4,68.6,53.84
4,3.7,0.801,91,72,0,0.711,82.6,3,C,0,6,3,109.7,50.05
3,3.6,0.822,77,63,1,0.823,82.2,3,A,0,13,4,87.5,62.19
5,3.7,0.885,146,129,1,0.83,87.3,1,C,0,21,5,138.3,80.1
0,3.3,0.783,30,23,0,0.721,40,2,C,0,32,2,84.2,35.68
11,4.8,0.993,228,226,1,0.928,104.9,0,C,0,15,7,211,92.69
11,4.2,0.95,228,216,1,0.976,83.5,0,B,1,2,6,211.6,96.23
7,3.8,0.913,176,160,0,0.83,76.1,1,A,1,15,7,107.4,70.82
5,3.7,0.889,143,127,0,0.879,71.3,2,B,1,17,3,110.2,59.46
3,3,0.768,111,85,1,0.81,53.6,0,B,0,20,3,168.6,73.17
8,3.8,0.892,151,134,1,0.881,81.3,0,C,1,6,4,109.2,92.49
6,3.7,0.845,178,150,1,0.834,93.3,0,A,1,15,6,151.9,83.68
1,3.7,0.846,64,54,1,0.769,68.3,1,A,0,17,0,104.4,56.05
10,4.5,0.94,203,190,1,0.958,66.6,0,B,1,26,8,134.5,97.65
8,4.2,0.88,165,145,0,0.936,58.7,0,B,1,22,7,120,75.32
10,4.7,0.852,217,184,1,0.962,76.5,1,C,1,9,6,215.3,90.97
7,4,0.796,179,142,1,0.84,66.6,0,C,1,12,4,190.7,84.59
6,4.1,0.877,168,147,1,0.823,82.4,0,C,1,22,6,140.9,81.03
4,3.6,0.799,139,111,1,0.828,87.4,5,B,0,23,4,70.4,70.09
10,4.5,0.95,187,177,1,0.934,85.6,0,C,1,14,9,197.7,92.92
9,4,0.821,215,176,1,0.891,77.5,0,B,1,24,7,110.3,90.81
0,2.2,0.86,59,50,1,0.76,63.4,6,A,0,8,0,101.5,45.53
0,3.1,0.813,30,24,0,0.768,65.9,3,B,1,26,3,31.4,33.35
3,4.1,0.826,130,107,0,0.79,55.6,2,C,1,32,3,104.2,55.76
8,4.5,0.973,200,194,0,0.883,84.2,0,A,0,28,7,170.5,78.97
11,4.9,0.977,209,204,1,1,68.5,0,A,1,32,6,83.2,97.34
1,3.8,0.77,68,52,1,0.801,79.9,2,B,0,22,3,72.1,61.52
5,3.8,0.852,140,119,1,0.771,68.1,2,C,0,9,3,124.6,78.98
3,3.6,0.723,74,53,1,0.701,79.5,2,B,1,3,1,93.7,62.26
11,4.3,0.983,226,222,1,0.931,63.8,0,C,1,25,6,147.9,96.63
9,4.1,0.888,227,201,1,0.947,88.4,0,C,1,12,7,148,91.16
8,4.4,0.79,202,159,1,0.949,93.4,0,B,1,29,6,175.1,92.76
4,4.2,0.775,138,106,1,0.755,55.6,0,A,1,3,3,153.1,81.17
4,3.6,0.878,77,67,0,0.82,69.6,0,A,1,23,4,133.2,62.57
2,3.3,0.888,89,79,0,0.74,72,2,C,0,23,2,142.6,43.44
0,3.2,0.781,29,22,1,0.794,69.6,5,A,0,18,3,64,40.69
9,4.5,0.854,176,150,1,0.936,74.4,0,C,1,11,5,169.9,93.85
8,3.6,0.818,164,134,1,0.825,70.8,1,C,1,26,6,113.4,84.5
11,3.6,1,260,260,1,0.87,84.5,0,C,1,8,6,255.9,91.76
11,4.3,0.952,274,260,1,1,85.7,0,B,1,28,7,171,93.7
5,3.3,0.832,123,102,1,0.787,65,0,B,0,18,5,144.1,76.96
7,3.8,0.847,136,115,1,0.899,65.6,0,B,0,13,6,83.1,88.59
10,4.3,0.95,200,190,1,0.957,94.5,0,C,1,12,8,183.4,95.46
9,4.1,0.935,186,173,1,0.827,79.8,0,C,1,22,7,155.4,91
2,4,0.762,111,84,1,0.7,40.7,1,A,0,2,1,109.9,66.89
4,3.8,0.777,119,92,1,0.763,85.6,0,B,1,28,4,112.4,76.61
1,3.4,0.739,48,35,1,0.681,59.3,2,A,0,13,1,84.4,52.76
11,4.7,0.907,273,247,1,0.953,82.3,1,C,1,33,8,158.8,88.53
6,3.5,0.827,145,119,1,0.852,78.5,1,A,1,3,4,125.3,76.34
2,3.9,0.888,66,58,1,0.867,50.2,5,B,1,34,2,140,60.08
6,3.9,0.837,157,131,1,0.859,70.5,3,B,0,23,3,117,79.7
6,4.2,0.799,175,139,1,0.898,89.8,0,B,1,32,5,195.8,84.09
3,3.1,0.761,125,95,1,0.734,82.6,3,C,0,20,2,105.8,59.64
1,2.7,0.784,74,58,1,0.787,63,3,A,1,28,2,130,53.05
6,4.2,0.771,180,138,1,0.796,82.6,0,B,1,8,3,162.3,79.66
5,3.9,0.845,120,101,1,0.774,82.7,0,B,1,3,3,73.1,79.74
8,3.8,0.822,223,183,1,0.819,86.6,1,B,1,30,6,103.4,83.85
5,3.4,0.906,96,86,0,0.706,58.7,3,C,1,25,4,99.7,50.86
9,4.7,0.909,180,163,1,0.954,98.2,0,B,0,30,8,105.7,97.68
5,3.3,0.954,124,118,0,0.788,66.9,1,C,1,29,6,107.6,61.24
5,4.4,0.837,143,119,0,0.887,73.8,0,B,0,30,3,120.8,66.47
9,3.9,0.746,178,132,1,0.854,74.3,1,C,1,34,6,171.5,86.49
3,3.8,0.894,102,91,0,0.72,72.3,1,C,0,25,4,109.4,57.48
1,3.2,0.819,55,45,0,0.683,56.1,2,A,0,17,1,88.2,40.77
0,3.4,0.813,17,13,0,0.728,62.3,2,B,0,24,2,110.7,35.94
7,3.8,0.825,156,128,0,0.756,77.7,0,A,0,28,4,162.7,70.75
6,3.8,0.86,133,114,1,0.872,88.7,0,B,0,33,5,185.2,82.72
7,4,0.885,158,139,1,0.792,88.7,0,C,1,7,6,141.6,88.15
2,3,0.795,88,69,1,0.713,81.9,2,A,1,23,3,23.7,63.04
1,3.6,0.707,62,43,0,0.715,76.9,0,C,0,26,1,100.8,48.23
0,3,0.918,70,64,0,0.774,87.2,0,A,0,14,3,148.1,47.61
3,3.5,0.863,131,113,0,0.828,66,0,C,0,28,3,134.8,58.33
5,3.4,0.869,117,101,1,0.761,70.6,3,B,1,24,3,157.7,72.36
3,2.5,0.887,106,94,1,0.78,67.1,1,C,1,7,2,106.8,66.09
4,3.6,0.867,78,67,1,0.862,70.3,2,C,0,15,5,139.4,69.91
10,5,0.883,204,180,1,0.906,62.8,0,C,1,3,8,199.2,96.14
3,3.9,0.883,117,103,1,0.809,72.7,0,A,0,2,1,94,72.15
5,3.8,0.891,140,124,1,0.841,78.5,2,C,0,7,5,105,84.32
8,4,0.857,151,129,1,0.943,73.9,0,B,1,16,7,157.6,89.81
3,3.6,0.86,113,97,0,0.764,48.4,2,B,0,21,4,133.1,55.24
6,4.1,0.85,124,105,0,0.77,74.3,2,C,1,9,5,45.3,64.59
9,3.8,0.913,206,188,1,0.864,63,0,C,0,12,7,146.2,92.7
10,4.8,0.946,250,236,1,0.95,85.1,0,B,1,29,7,101.4,93.73
1,3.6,0.862,38,32,1,0.673,67.9,4,A,0,24,3,84.3,55.59
10,4.7,0.884,218,192,1,0.895,82.6,0,B,1,33,9,210.7,91.34
4,3.8,0.853,120,102,0,0.807,58.3,1,B,0,14,4,93.3,63.98
2,3.4,0.908,46,41,1,0.745,83.1,3,A,0,18,1,87.4,59.94
4,3.9,0.826,140,115,1,0.812,73,2,C,0,5,4,131.9,69.29
11,4.7,0.94,224,210,1,0.993,70.5,0,B,1,15,8,197.8,96.05
4,3.5,0.935,94,87,1,0.851,78,1,C,1,7,5,140.7,71.4
3,3.3,0.853,70,59,0,0.708,70.7,1,C,1,25,2,105.1,47.76
6,3.9,0.788,164,129,1,0.824,96,2,C,1,14,5,145.1,80.83
2,4.1,0.767,91,69,1,0.749,61.4,1,A,0,35,1,111.8,57.18
0,2.7,0.814,75,61,0,0.7,50,3,B,1,24,0,58.9,37.29
1,2.7,0.815,70,57,0,0.753,70,0,A,0,15,2,35.5,46.41
1,3.4,0.802,41,32,0,0.748,78.6,1,A,0,11,0,61.1,42.49
1,3.3,0.902,28,25,1,0.759,94.4,1,B,0,24,0,131.2,60.27
1,3.4,0.763,49,37,0,0.672,107.5,3,C,1,11,2,154.4,46.38
6,4,0.858,165,141,1,0.84,55.4,1,A,0,17,3,125.3,76.82
2,3.3,0.709,88,62,1,0.817,66.4,2,A,0,6,1,138,64.91
3,4.2,0.879,65,57,0,0.774,54.6,1,A,0,21,3,95.1,58.14
9,3.6,0.863,225,194,1,0.95,75.5,0,C,1,8,8,162.5,88.39
4,3.3,0.887,145,128,1,0.816,100.7,1,C,0,15,3,93.6,74.94
6,3.9,0.909,123,111,1,0.817,64.2,2,A,1,32,4,158.4,74.99
1,2.7,0.911,37,33,0,0.752,66.2,1,B,0,10,3,68.8,41.75
2,3.4,0.84,104,87,0,0.763,61,0,C,0,28,3,69.2,46.89
0,3.9,0.762,7,5,1,0.736,53,0,A,0,15,3,81.4,53.94
1,3.3,0.816,91,74,1,0.857,88,5,B,0,12,1,112.5,58.69
2,3.5,0.769,63,48,0,0.745,49.5,1,A,0,18,2,100.9,48.41
1,2.8,0.81,75,60,0,0.675,65.5,0,B,1,24,1,73.9,45.59
1,3.1,0.784,59,46,0,0.646,67.6,5,B,0,29,1,61,38.31
1,3.2,0.79,31,24,1,0.709,66.1,2,B,1,10,2,37.4,54.88
4,3.5,0.79,91,71,0,0.728,67.2,2,B,0,14,3,98.3,54.44
2,3.9,0.822,43,35,1,0.786,87.4,2,A,1,16,2,91.4,64.68
3,3.8,0.862,128,110,0,0.816,44.2,2,A,1,11,3,120.6,56.12
4,3.2,0.752,93,69,1,0.766,76.2,0,B,0,26,5,77,69.48
7,4.1,0.841,156,131,1,0.887,81.3,0,C,1,19,6,156,87.12
0,3.4,0.788,25,19,1,0.715,68.4,1,C,0,18,1,62.2,51.32
8,4.6,0.772,220,169,0,0.945,67,0,A,1,30,4,128.6,77.43
6,4.5,0.949,133,126,1,0.9,88.5,1,C,0,32,5,165.5,80.01
1,2.9,0.758,33,25,0,0.765,80.4,0,A,0,23,2,20,41.83
9,3.9,0.856,204,174,0,0.823,68.1,0,B,1,12,8,115.2,77.06
10,3.9,0.906,256,231,1,0.87,65.6,0,C,1,13,7,161.4,87.87
0,3.1,0.787,39,30,1,0.735,48.3,1,A,1,21,0,79.9,48.79
2,3.6,0.769,54,41,0,0.665,70.7,1,A,0,21,3,44.9,39.7
8,4.5,0.938,162,151,0,0.871,77.6,0,B,1,29,6,129.2,76.57
7,4,0.895,140,125,1,0.93,71.2,1,C,1,29,6,164.7,81.99
2,3.3,0.765,52,39,1,0.709,93,0,B,1,27,1,61.1,64.1
2,3.5,0.781,78,60,0,0.685,62.5,1,B,1,29,3,128.4,42.9
3,3.2,0.745,92,68,1,0.786,71.7,0,C,1,15,3,82.5,69.46
4,4.5,0.772,117,90,1,0.883,68.7,1,C,0,12,2,55.8,71.94
6,3.3,0.881,122,107,1,0.808,97.6,1,C,0,19,5,152.6,74.45
3,3.6,0.78,75,58,1,0.825,45.6,2,B,0,12,1,111.5,60.4
4,4.5,0.925,93,86,0,0.779,67.3,0,A,1,23,5,68,68.44
7,4,0.879,197,173,1,0.86,82.9,1,A,0,5,4,119.7,81.35
0,3.1,0.712,66,46,0,0.685,62.3,1,B,0,26,3,131.7,42.39
2,3.3,0.75,41,30,1,0.697,52.3,1,C,0,10,1,115.8,59.65
7,4,0.928,142,131,1,0.924,77.6,2,C,0,22,5,169.5,81.87
9,4.8,0.899,170,152,1,0.831,59,0,B,0,23,7,117.9,90.4
5,2.9,0.898,136,122,0,0.845,80.5,0,A,1,11,6,156.8,69.43
5,4.4,0.83,107,88,0,0.869,67.5,2,A,0,28,5,77.3,60.05
1,2.7,0.766,26,19,0,0.763,59.5,2,A,0,31,2,46.2,34.27
4,3.6,0.891,145,129,1,0.84,83.6,1,B,1,8,2,137.1,79.06
5,3.6,0.805,113,90,1,0.887,60.5,0,C,1,28,4,80.1,82.6
2,3.7,0.832,42,34,1,0.75,49.5,0,B,0,16,1,141.5,64.19
2,2.8,0.797,52,41,0,0.674,57.1,3,B,1,31,3,58.4,42.16
3,3.7,0.865,132,114,1,0.796,94.1,2,B,1,16,1,74.8,66.75
0,4,0.871,10,8,1,0.73,53,0,A,0,5,3,114.6,67.51
3,3,0.801,66,52,1,0.664,73.9,1,C,1,35,2,85.4,57.78
2,3.5,0.78,91,70,0,0.689,78.1,0,B,1,25,3,119.9,48.18
3,3.3,0.854,69,58,0,0.723,58.2,1,A,0,13,1,70.6,54.32
1,3.5,0.74,85,62,1,0.674,55.2,2,B,0,29,3,79.7,56.31
9,4.3,0.984,223,219,1,0.916,80.7,0,C,1,27,6,174.2,96.9
5,3.5,0.92,106,97,0,0.826,75.2,1,A,1,17,3,94.6,60.49
6,4.1,0.812,185,150,1,0.789,90.2,1,B,0,29,3,158.7,81.43
8,4.9,0.81,150,121,1,0.801,67.8,0,B,1,34,6,133.2,89.19
4,3.6,0.777,84,65,1,0.8,66.5,2,A,0,30,5,115.6,67.59
1,3.6,0.736,33,24,1,0.72,100.6,4,A,0,31,1,57.9,47.56
5,3.3,0.888,147,130,0,0.84,51,1,B,0,22,3,96.9,60.54
5,3.4,0.926,104,96,1,0.933,48.5,1,B,0,25,4,94.7,74.78
7,4.2,0.915,138,126,1,0.885,58.9,0,C,1,4,7,117.7,96.6
4,4.3,0.823,112,92,0,0.776,84.2,1,C,1,35,4,158.4,58.87
1,3.5,0.811,36,29,1,0.731,61.2,1,B,0,9,2,121.6,55.41
2,3.3,0.764,94,71,0,0.746,62.7,1,B,0,26,3,109.6,50.11
3,3.6,0.876,79,69,0,0.823,57.9,0,C,1,27,2,84.2,52.02
6,3.4,0.883,162,143,0,0.847,85,0,C,1,27,4,102.7,68.75
5,4,0.887,133,117,0,0.735,56.1,0,A,1,18,3,90.9,63.51
3,3.9,0.785,78,61,0,0.743,62.5,1,B,0,30,4,94.9,52.59
11,4.3,0.922,209,192,0,0.952,70.4,0,C,1,31,9,176.4,77.85
6,3.7,0.898,121,108,1,0.919,41.9,0,C,1,3,6,146.4,84.69
2,3.5,0.879,41,36,0,0.736,62.3,0,C,0,29,2,96.4,49.53
1,3.1,0.763,48,36,1,0.64,65.8,3,B,0,7,2,105,49.97
1,3.3,0.833,60,49,0,0.746,57.2,3,C,0,18,3,116.1,37.31
2,4.3,0.772,78,60,0,0.786,64.8,3,A,1,16,1,84.8,46.6
1,3.2,0.899,83,74,0,0.743,63.6,1,B,0,32,1,121,44.84
2,3.3,0.787,84,66,1,0.867,66.4,0,C,0,25,3,66.5,62.5
2,3.2,0.839,84,70,1,0.87,55.4,2,A,0,32,4,113.6,64.34
