mileage,vehicle_age_years,condition_rating,capacity,fuel_efficiency_num,distance,required_capacity,capacity_utilization,last_maintenance_days,engine_type,tire_condition,avg_fuel_consumption_per_100km,gps_tracker_installed,ac_working,load_type,breakdown_count_last_year,score
270045,11,6,1000,2,498,498,0.498,47,diesel,2,9.8,0,1,refrigerated,0,42.15
130735,5,9,500,2,348,247,0.494,37,petrol,4,13,1,1,standard,0,64.09
175177,8,4,1500,2,437,1022,0.681,39,diesel,3,14.1,0,1,fragile,0,56.77
182591,8,6,1500,2,283,628,0.419,28,petrol,3,17,0,1,fragile,0,43.07
45692,1,8,300,1,411,166,0.553,156,diesel,4,9.2,1,0,bulk,1,72.22
56433,2,10,1000,2,117,843,0.843,13,diesel,3,13.5,1,1,standard,0,88.87
89254,4,6,500,1,490,395,0.79,23,electric,5,6,0,1,refrigerated,1,80.88
280582,11,4,300,2,378,154,0.513,234,electric,1,13.1,1,1,fragile,0,48.48
47869,3,8,800,3,392,746,0.932,4,petrol,5,19.4,1,1,standard,1,76.67
97045,2,6,1000,1,277,677,0.677,91,petrol,4,9.6,1,0,bulk,2,66.4
72679,4,8,500,1,210,471,0.942,45,petrol,5,9,0,1,bulk,0,72.61
179556,6,8,1000,2,245,703,0.703,12,diesel,3,11.3,1,1,bulk,1,70.74
28497,0,9,1000,2,331,718,0.718,50,diesel,4,13.6,0,1,standard,1,83.06
220255,8,8,1500,1,221,1293,0.862,105,electric,2,10.3,1,1,bulk,1,69.15
91411,5,9,800,1,27,508,0.635,59,diesel,4,9.8,1,1,bulk,0,75.65
130459,6,5,500,2,488,254,0.508,40,diesel,4,15.6,1,0,standard,3,56.6
200298,8,7,1500,1,290,925,0.617,79,petrol,3,10.1,0,1,bulk,0,64.43
159582,7,9,500,1,130,333,0.666,43,diesel,3,7.8,1,0,fragile,0,73.58
249166,9,4,1000,1,311,681,0.681,87,diesel,2,9.5,1,0,refrigerated,1,50.13
241957,9,5,800,2,399,721,0.901,8,diesel,1,14,1,1,hazardous,0,52.26
148868,6,9,1500,1,54,666,0.444,57,diesel,2,7.8,1,1,bulk,1,63.92
139206,5,9,500,2,55,303,0.606,234,diesel,2,10.8,0,1,bulk,0,67.16
186604,7,7,500,2,30,324,0.648,2,diesel,3,10.7,0,1,bulk,1,64.44
239916,10,9,1500,1,274,746,0.497,36,petrol,2,7.2,0,0,fragile,1,48.9
93769,3,9,300,3,234,210,0.7,116,diesel,4,16.6,1,1,fragile,0,78.15
95649,4,10,500,1,474,469,0.938,38,diesel,4,8.1,1,0,bulk,0,81.1
120566,6,7,1500,2,379,1423,0.949,58,electric,3,12.2,1,1,refrigerated,0,62.05
198409,7,9,800,2,137,460,0.575,5,diesel,3,13.6,0,1,bulk,0,65.01
220680,9,6,1000,1,386,482,0.482,92,diesel,3,8.7,1,1,refrigerated,1,49.03
235042,9,8,800,2,190,526,0.658,48,diesel,1,13.1,1,1,standard,0,61.09
276951,10,3,500,3,383,481,0.962,181,petrol,1,18,0,1,standard,0,44.82
39616,1,8,300,1,434,147,0.49,75,electric,4,7.6,0,1,hazardous,0,66.95
51257,2,9,800,1,493,612,0.765,145,diesel,4,6,0,0,refrigerated,0,87.15
94685,3,8,500,2,310,239,0.478,220,petrol,4,16.2,1,1,fragile,0,60.25
173618,7,2,500,2,71,340,0.68,111,petrol,4,15.2,0,0,hazardous,0,43.92
75344,4,8,1500,2,161,648,0.432,72,electric,3,10.6,0,1,bulk,2,56.28
250606,9,8,300,2,307,134,0.447,1,diesel,2,11.8,0,1,bulk,2,50.63
34362,2,9,500,2,87,316,0.632,325,diesel,4,13.7,1,0,standard,0,72.1
108682,5,10,800,1,363,627,0.784,27,petrol,3,8.5,1,1,standard,1,88.27
117785,4,6,500,2,239,290,0.58,26,petrol,4,11.4,1,1,hazardous,0,64.59
215957,9,7,500,2,106,301,0.602,177,diesel,1,13.8,1,1,standard,0,54.37
73091,2,9,500,2,464,247,0.494,127,diesel,4,12.2,1,1,standard,1,65.76
240192,10,6,800,3,248,547,0.684,124,petrol,2,19.1,0,1,standard,0,47.75
59162,2,10,300,3,241,167,0.557,28,petrol,5,17.9,0,1,standard,1,72.27
108326,4,7,800,2,46,725,0.906,269,diesel,3,11.8,1,1,hazardous,1,71.14
261109,7,6,1500,2,313,1430,0.953,16,diesel,2,14.5,1,1,standard,1,50.51
5598,0,10,500,1,35,401,0.802,96,petrol,4,9.5,1,1,standard,0,98.76
212730,8,7,800,2,59,356,0.445,108,petrol,1,14,1,1,standard,0,44.58
228040,7,4,800,2,420,474,0.592,1,diesel,3,15.9,1,1,standard,1,51.49
148064,5,7,300,1,386,291,0.97,46,diesel,4,9,1,1,refrigerated,0,67.27
261074,9,5,500,2,400,428,0.856,29,diesel,2,13.1,0,1,hazardous,1,58.21
43572,0,10,1500,1,289,816,0.544,10,diesel,4,7.1,1,0,standard,0,83.4
95777,4,6,500,2,306,434,0.868,166,diesel,4,10.8,0,1,refrigerated,0,77.44
252202,11,6,1000,2,397,783,0.783,1,petrol,3,14.1,0,0,standard,1,59.44
96098,3,10,300,3,135,152,0.507,12,diesel,3,18.7,1,0,standard,1,67.5
205466,7,7,800,2,265,751,0.939,99,petrol,1,15.1,0,1,bulk,0,52.82
35298,0,9,800,1,473,467,0.584,39,diesel,4,9.7,1,1,fragile,0,82.67
216781,9,9,800,2,460,709,0.886,93,diesel,3,14.2,1,1,standard,0,71.17
276109,10,5,1000,1,338,601,0.601,52,diesel,2,9.7,1,1,fragile,3,52.92
73365,1,10,500,3,302,407,0.814,27,petrol,5,18,1,1,bulk,0,83.34
104052,1,8,800,2,244,783,0.979,157,petrol,3,14.3,1,1,bulk,0,73.72
249489,12,3,800,1,189,351,0.439,133,diesel,2,10.1,1,1,bulk,3,38.46
232283,8,6,300,2,34,269,0.897,64,petrol,3,14,0,1,standard,1,59.62
235228,9,9,800,2,428,434,0.542,2,petrol,2,13.5,1,1,standard,0,63.85
151146,6,7,500,1,242,377,0.754,55,diesel,3,7.4,0,0,standard,1,73.7
55288,2,9,500,1,130,449,0.898,1,diesel,4,9.8,1,1,standard,0,89.39
28709,1,8,500,1,233,392,0.784,1,diesel,4,10,1,1,hazardous,0,87.55
44143,0,10,300,1,207,185,0.617,44,diesel,4,13.1,0,1,standard,0,85.2
256234,10,5,500,2,53,208,0.416,24,diesel,1,15.1,1,0,standard,0,40.7
178519,10,5,1500,3,486,967,0.645,27,petrol,3,19.5,0,0,refrigerated,0,51.82
240695,7,6,500,2,311,239,0.478,2,diesel,2,9.7,0,1,bulk,2,38.95
190553,8,9,300,2,451,289,0.963,42,electric,3,13,1,1,bulk,2,64.84
205479,8,6,500,2,100,264,0.528,1,diesel,3,13.3,0,0,refrigerated,0,53.9
87531,5,8,300,3,247,139,0.463,149,petrol,2,19.4,0,1,bulk,3,49.3
97277,6,10,1000,1,129,862,0.862,45,petrol,3,10,1,1,standard,0,91.4
123533,2,10,1500,2,31,649,0.433,72,diesel,5,13.1,1,1,hazardous,0,71.46
162945,6,10,500,3,344,332,0.664,141,petrol,2,18.9,1,1,fragile,0,57.12
209043,8,6,300,2,439,160,0.533,86,diesel,2,13.3,1,0,standard,0,58.5
162179,6,10,1000,2,288,586,0.586,1,diesel,4,11.3,1,1,standard,0,74.34
102172,5,8,1000,3,393,423,0.423,123,diesel,3,19.1,0,0,standard,0,47.69
1647,0,10,1000,3,340,634,0.634,170,diesel,4,18.4,1,1,standard,1,81.29
194599,6,7,300,2,363,173,0.577,121,diesel,4,10.1,1,1,bulk,2,59.45
120003,4,6,500,2,108,232,0.464,36,electric,4,13.1,0,1,hazardous,1,53.04
273560,10,4,500,2,406,411,0.822,87,diesel,2,14.6,0,1,fragile,0,56.87
171327,6,6,1500,2,257,886,0.591,75,petrol,3,12.9,1,0,fragile,2,53.79
11359,0,10,1000,2,434,960,0.96,257,petrol,4,10.9,1,1,bulk,0,83.93
237089,10,6,500,2,161,324,0.648,132,petrol,2,15.8,0,1,standard,1,49.12
231752,8,8,500,2,242,376,0.752,139,diesel,2,13.2,0,0,standard,0,64.92
279139,10,7,300,2,217,160,0.533,115,petrol,1,16.4,0,0,hazardous,1,49.98
157241,6,7,300,2,341,260,0.867,21,diesel,4,11.4,1,1,standard,1,73.53
190635,7,3,800,2,421,556,0.695,6,petrol,3,11.9,1,1,standard,1,51.32
51025,3,9,1000,1,479,459,0.459,2,diesel,5,6,1,1,bulk,0,77.75
159119,6,8,800,2,234,533,0.666,118,diesel,3,14,0,1,standard,0,61.48
202557,9,5,800,1,294,755,0.944,105,diesel,2,10,1,1,fragile,0,64.73
44629,1,8,1000,2,148,866,0.866,72,diesel,5,11.2,1,1,fragile,0,86.44
4790,1,10,800,1,73,330,0.412,21,petrol,5,9,1,0,refrigerated,0,81.44
2478,0,10,800,2,250,637,0.796,27,diesel,5,12.5,1,1,fragile,0,99.92
142794,5,6,1000,2,216,974,0.974,78,electric,4,12.4,1,1,fragile,1,67.26
55437,1,9,500,2,415,317,0.634,16,petrol,5,14.2,0,0,standard,0,71.12
210987,9,7,500,3,96,359,0.718,72,diesel,2,19.3,1,0,fragile,0,59.15
148189,5,5,300,2,311,285,0.95,64,petrol,2,16.1,1,1,fragile,0,57.14
141277,4,10,1500,2,446,1301,0.867,51,petrol,4,13,0,1,hazardous,1,80.68
165105,6,6,800,2,219,771,0.964,9,petrol,4,13.8,1,1,standard,0,65.58
182454,7,7,800,2,32,552,0.69,113,diesel,2,14,0,0,standard,0,61.74
180355,6,7,500,3,129,325,0.65,16,petrol,3,15.9,1,1,fragile,2,56.04
153112,6,7,500,2,298,307,0.614,1,diesel,3,16,0,1,bulk,1,61.5
222456,9,5,500,2,56,399,0.798,170,petrol,1,14.3,0,0,refrigerated,1,59.59
194907,6,9,800,2,82,601,0.751,48,diesel,2,14.3,0,1,bulk,0,67.96
103080,4,7,800,2,153,679,0.849,135,petrol,4,9.5,0,0,bulk,1,72.36
206043,8,7,300,2,353,146,0.487,1,diesel,4,14.2,1,0,hazardous,0,52.23
83859,3,10,300,1,304,170,0.567,77,petrol,4,7.8,1,1,refrigerated,0,75.13
85305,3,8,800,3,199,353,0.441,68,diesel,4,19.2,0,1,standard,1,54.76
12067,0,10,1000,1,257,402,0.402,42,petrol,5,9.3,1,0,hazardous,0,79.53
165911,5,7,500,2,253,294,0.588,4,electric,3,12.2,1,1,standard,0,67.08
165358,6,6,500,3,479,275,0.55,74,petrol,3,16,0,1,bulk,1,54.39
244256,11,8,1000,2,254,833,0.833,26,diesel,3,13.2,0,0,standard,1,61.19
221044,8,7,300,1,60,121,0.403,103,electric,2,10.1,1,1,standard,1,51.49
141757,6,6,800,2,401,678,0.848,9,diesel,3,15.6,0,0,standard,0,72.25
16185,0,10,300,1,498,253,0.843,1,petrol,4,9.5,1,1,standard,0,96.09
137575,6,7,800,2,237,654,0.818,17,electric,3,12.5,1,1,hazardous,0,79.27
60807,1,10,1500,2,253,1040,0.693,44,electric,5,15.1,1,0,fragile,1,73.62
28276,1,8,500,1,374,208,0.416,56,petrol,5,10.2,0,1,standard,1,69.28
195812,7,5,300,2,63,217,0.723,33,diesel,3,12.6,0,0,refrigerated,2,55.32
220896,9,7,800,3,490,526,0.658,135,electric,2,16.4,1,0,standard,2,46.99
226006,7,6,300,2,141,204,0.68,37,petrol,3,11.3,1,1,standard,0,59.89
4343,0,10,800,2,278,595,0.744,7,diesel,5,14.3,0,1,bulk,1,91.46
273868,12,6,1000,2,356,415,0.415,169,electric,2,15.6,1,0,standard,0,37.4
83534,3,8,1000,3,475,814,0.814,17,petrol,4,18.2,1,1,standard,2,74.67
111761,2,10,500,1,393,346,0.692,57,diesel,3,9,1,1,hazardous,0,77.93
270180,10,6,300,1,90,235,0.783,3,diesel,3,9.7,0,1,hazardous,1,61.43
180933,8,5,300,3,200,197,0.657,5,petrol,4,17.9,0,1,standard,1,51.55
72384,1,9,1000,1,425,584,0.584,50,petrol,4,9.5,1,1,standard,0,83.05
190837,7,6,500,2,319,401,0.802,18,petrol,3,11.6,0,1,standard,1,67.17
232451,8,9,500,2,478,478,0.956,13,diesel,3,13.6,1,0,refrigerated,0,62.98
186119,6,8,500,3,319,449,0.898,195,diesel,1,18.4,0,1,refrigerated,0,60.55
241553,9,7,800,3,202,408,0.51,22,petrol,2,17,1,1,hazardous,0,55.2
61953,4,10,1000,1,211,521,0.521,34,petrol,4,10.5,1,1,refrigerated,1,82.4
228600,9,6,500,2,295,439,0.878,58,diesel,1,10.1,1,0,standard,4,61.67
169864,7,7,300,1,174,204,0.68,32,diesel,2,9.1,1,1,fragile,0,65.73
184580,7,6,1500,1,174,1020,0.68,188,petrol,2,9.1,0,1,standard,1,55.45
117318,4,7,500,3,311,268,0.536,37,petrol,3,16.9,1,1,bulk,1,63.36
89069,2,5,500,2,85,396,0.792,4,diesel,4,15.4,1,0,refrigerated,1,78.87
168432,7,8,500,2,118,243,0.486,41,petrol,3,14.2,1,1,hazardous,0,58.77
71412,3,7,800,2,457,571,0.714,30,diesel,4,9.9,1,1,fragile,1,81.55
149665,6,6,500,2,210,225,0.45,230,diesel,2,14.1,1,1,hazardous,0,50.36
175469,6,9,1000,2,248,763,0.763,12,petrol,4,14,1,1,bulk,0,77.52
235431,10,7,300,2,449,268,0.893,85,diesel,3,10.7,1,0,bulk,0,61.35
231005,10,10,1500,2,299,719,0.479,175,petrol,2,12.2,1,1,hazardous,1,54.08
263260,10,6,500,1,489,215,0.43,89,petrol,1,10.7,0,0,fragile,0,38.82
163661,5,7,1000,3,255,676,0.676,56,petrol,4,17.7,1,0,refrigerated,0,63.84
149806,5,6,800,1,116,365,0.456,86,diesel,4,12.4,1,1,fragile,1,62.11
65076,0,8,300,2,37,248,0.827,3,diesel,5,10.9,1,1,bulk,1,87.7
201775,7,5,800,2,316,336,0.42,141,diesel,3,12,1,1,refrigerated,0,51.1
186300,7,8,800,1,270,690,0.862,34,diesel,3,11.5,1,1,standard,0,75.04
263414,10,6,300,2,408,160,0.533,38,petrol,2,12.3,0,1,standard,1,46.81
102609,4,10,800,3,396,404,0.505,37,petrol,3,17.4,1,1,standard,1,70.27
233841,10,8,800,1,456,668,0.835,176,petrol,2,9.6,0,1,fragile,0,71
97986,4,10,800,2,442,378,0.472,32,diesel,3,12.7,1,1,hazardous,0,68.09
159080,5,5,1500,3,254,1130,0.753,4,electric,4,16.9,1,1,standard,1,65.86
110757,3,8,300,2,404,200,0.667,10,petrol,4,15.7,1,1,standard,1,67.78
36398,0,10,500,3,465,352,0.704,365,petrol,2,16.8,1,1,standard,0,79.19
188260,8,7,300,1,413,225,0.75,53,petrol,2,8.2,0,1,fragile,1,71.91
37254,1,8,500,3,104,312,0.624,67,diesel,5,19.3,1,1,fragile,2,73.9
217900,6,3,1000,1,113,513,0.513,17,diesel,2,10.4,0,1,bulk,1,50.84
217149,9,6,1000,2,207,797,0.797,97,diesel,2,11.8,1,1,standard,2,65.12
183447,7,7,500,2,59,321,0.642,47,diesel,1,13.1,1,1,standard,1,61.07
38021,0,10,500,2,459,259,0.518,66,diesel,4,12,0,1,bulk,1,78.85
111672,5,7,500,2,41,305,0.61,89,diesel,4,14,1,1,fragile,0,70.08
1279,0,9,800,2,96,536,0.67,186,petrol,4,12.1,1,1,bulk,0,79.16
238195,9,6,800,3,234,675,0.844,23,diesel,1,18.9,0,1,fragile,0,53.55
71474,2,10,500,1,80,224,0.448,58,petrol,5,7.7,1,0,bulk,0,77.48
65207,3,9,1000,1,377,416,0.416,55,diesel,5,8.2,1,1,bulk,2,71.82
165345,6,4,1500,2,23,1289,0.859,5,diesel,3,10.8,0,1,standard,0,66.31
187099,7,6,800,1,127,325,0.406,5,electric,3,10,0,0,refrigerated,0,50.33
45653,1,8,1500,2,480,662,0.441,33,diesel,4,11.1,1,1,bulk,1,65.81
251041,9,4,800,3,301,750,0.938,51,petrol,3,18.9,0,0,bulk,1,41.74
786,0,10,1500,2,173,668,0.445,38,petrol,4,13,0,1,bulk,1,71.29
133468,5,7,1500,2,165,1459,0.973,33,diesel,3,16.6,1,1,refrigerated,1,65.97
186266,7,4,500,3,372,403,0.806,207,electric,3,20.2,0,1,fragile,2,55.43
130531,4,6,500,3,444,444,0.888,5,diesel,3,16.1,1,1,standard,0,68.54
59793,2,10,500,3,283,304,0.608,72,diesel,3,17.8,1,1,standard,1,73.48
112357,4,9,300,1,172,221,0.737,48,diesel,3,8,1,1,bulk,3,78.51
151154,4,5,500,2,355,222,0.444,36,diesel,2,14.5,1,0,standard,0,46
255716,11,4,1000,3,406,949,0.949,12,diesel,2,18.2,0,1,hazardous,3,38.11
194155,6,9,800,3,31,540,0.675,117,petrol,3,18.6,0,1,fragile,0,61.37
144300,7,7,300,2,494,170,0.567,24,diesel,3,12.6,0,1,hazardous,1,56.88
121485,4,6,1500,3,449,774,0.516,13,petrol,3,18.2,1,1,standard,3,60.75
55327,1,10,1000,3,168,517,0.517,68,petrol,5,21.6,1,1,standard,1,73.55
89530,2,7,1000,1,207,545,0.545,42,diesel,4,9.2,0,1,bulk,1,64.97
49088,2,9,500,3,49,375,0.75,140,petrol,4,20.2,1,0,standard,0,84.01
216004,8,6,500,2,156,284,0.568,13,diesel,3,16.2,0,1,standard,2,54.16
43362,1,10,1000,2,346,796,0.796,11,diesel,4,14.8,0,1,standard,0,87.56
209786,6,8,1500,1,148,738,0.492,46,diesel,2,10.5,0,0,refrigerated,0,51.14
234510,8,5,800,2,306,660,0.825,32,diesel,2,12.8,0,0,standard,0,58.35
233495,9,5,500,1,179,287,0.574,22,diesel,1,9,0,0,bulk,0,50.83
118226,5,6,500,3,103,281,0.562,115,petrol,4,15.3,1,1,fragile,1,63.58
209555,10,7,1000,2,431,538,0.538,53,diesel,2,12.2,0,1,hazardous,1,64.2
280319,11,4,1000,2,122,751,0.751,31,diesel,2,11.8,0,1,standard,0,57.28
79647,2,9,500,1,133,249,0.498,22,petrol,5,8,1,1,bulk,0,68.53
10374,2,10,800,1,88,581,0.726,154,petrol,4,8.1,1,1,bulk,0,99.04
9975,0,9,1000,1,251,555,0.555,14,petrol,5,7.3,1,1,standard,0,87.11
87739,4,5,1000,2,75,738,0.738,3,electric,3,10.5,0,1,refrigerated,2,67.1
268790,9,8,500,2,344,412,0.824,49,diesel,3,12.6,1,0,refrigerated,1,67.48
265853,10,5,300,1,236,289,0.963,46,petrol,3,10.4,1,0,fragile,1,54.86
186275,7,6,500,2,252,316,0.632,61,diesel,2,14.3,1,1,fragile,1,57.31
93295,2,8,500,1,162,331,0.662,49,petrol,4,6.2,0,1,bulk,0,74.95
197111,8,7,800,3,499,417,0.521,1,petrol,3,16.9,1,1,fragile,0,55.99
33201,1,10,500,3,121,482,0.964,108,petrol,5,18.8,1,1,standard,0,79.56
204503,9,4,300,2,360,120,0.4,69,diesel,3,11.8,0,1,bulk,0,38.26
34782,2,9,800,2,194,712,0.89,40,diesel,5,14.2,1,1,standard,0,86.74
23672,0,9,1500,3,188,1051,0.701,27,petrol,5,18,1,0,standard,1,80.24
92194,3,9,800,2,238,499,0.624,36,diesel,4,12.2,0,1,standard,0,72.76
166879,8,9,500,2,84,372,0.744,14,petrol,4,13.5,1,0,bulk,1,78.26
38860,1,9,1000,3,180,923,0.923,32,petrol,4,16.4,0,1,fragile,0,76.68
99382,4,6,1000,1,126,723,0.723,18,electric,3,10,0,1,fragile,0,75.69
149440,6,8,1500,2,416,1299,0.866,5,diesel,3,13.4,1,1,standard,0,79.17
217101,9,6,500,1,313,271,0.542,12,petrol,2,8.2,1,1,standard,1,66.87
59769,2,9,500,2,416,468,0.936,5,diesel,5,15,1,1,bulk,1,75.45
82242,5,9,500,2,50,371,0.742,26,petrol,4,13.1,1,1,bulk,0,85.9
97854,3,9,500,1,121,451,0.902,2,diesel,4,11.3,1,1,refrigerated,0,74.49
155745,5,5,1500,2,309,652,0.435,262,petrol,2,13.7,0,1,fragile,1,45.19
26874,0,8,500,3,293,295,0.59,41,diesel,3,17.3,1,1,standard,0,68.53
11939,0,9,800,1,142,559,0.699,32,diesel,5,9.1,1,1,hazardous,0,81.33
196363,8,7,800,3,236,378,0.472,92,petrol,2,18.4,1,0,standard,3,40.69
34172,1,10,1000,2,268,454,0.454,152,petrol,4,12.3,1,1,bulk,0,69.45
61556,2,10,500,3,425,240,0.48,173,petrol,4,17.6,1,1,fragile,0,66.02
41545,1,10,800,2,240,534,0.668,75,diesel,4,13.7,1,1,bulk,0,82.28
140514,5,8,300,2,99,262,0.873,130,electric,3,12.7,1,1,bulk,1,68.43
226429,8,4,300,2,347,263,0.877,63,electric,3,14.6,0,1,bulk,0,58.15
244386,10,7,800,2,133,679,0.849,70,diesel,1,15.3,1,1,standard,1,59.43
70823,2,9,800,2,337,693,0.866,4,petrol,4,13.6,0,0,fragile,1,82.87
151189,5,9,300,1,461,140,0.467,34,petrol,4,8.3,1,1,bulk,0,67.86
146205,4,8,300,2,321,183,0.61,10,petrol,4,12.9,1,1,standard,0,70.19
92431,4,7,1000,3,405,813,0.813,139,diesel,3,17,0,0,standard,2,65.92
179799,7,8,800,3,208,602,0.752,83,petrol,3,16.9,1,1,standard,0,72.98
198888,6,6,500,2,420,448,0.896,21,diesel,2,14,0,1,refrigerated,0,67.34
31177,1,10,1500,1,396,1207,0.805,15,diesel,4,8.9,1,1,refrigerated,0,98.26
252685,10,6,500,1,267,363,0.726,4,petrol,3,10,0,1,bulk,1,61.98
239046,9,7,500,1,494,420,0.84,22,petrol,4,9.6,1,1,bulk,0,75.65
216598,8,7,500,1,415,446,0.892,23,diesel,3,8.6,1,1,bulk,1,67.9
45398,3,8,500,2,372,437,0.874,74,diesel,5,15.9,1,1,standard,3,80.46
179179,6,9,500,2,132,372,0.744,142,diesel,3,14.2,1,1,standard,1,69.81
155743,7,10,500,1,454,321,0.642,33,electric,3,11.4,1,1,standard,0,79.4
247492,10,6,800,2,450,662,0.828,6,petrol,2,11.5,1,1,standard,2,53.67
33249,1,7,500,2,115,429,0.858,168,petrol,4,13.4,1,1,standard,1,84.18
95946,4,8,1000,2,455,942,0.942,284,diesel,2,11.6,1,1,standard,0,67.1
135564,5,8,500,3,103,457,0.914,195,diesel,3,20.7,0,1,hazardous,1,54.19
37039,0,9,1000,1,245,504,0.504,157,diesel,3,11.1,1,0,standard,0,79.83
204790,6,6,800,1,158,574,0.718,8,electric,3,10.5,1,0,fragile,2,66.63
170228,7,7,1000,2,440,510,0.51,134,petrol,2,9.4,1,1,bulk,2,59.3
178697,7,8,500,2,209,302,0.604,78,electric,2,13.9,1,0,bulk,0,62.38
14434,0,9,300,2,247,127,0.423,24,petrol,5,12.5,1,1,fragile,2,69.93
194093,8,5,800,3,112,596,0.745,67,diesel,3,17.7,0,0,standard,3,55.98
49696,0,8,1000,1,436,665,0.665,113,diesel,3,10.1,0,0,standard,0,76.28
13150,0,10,300,1,343,290,0.967,138,petrol,4,11.1,1,1,hazardous,1,90.26
274325,8,4,800,1,473,445,0.556,92,diesel,2,8.6,1,1,standard,2,50.32
71584,3,10,800,2,110,477,0.596,79,diesel,4,12.8,1,1,hazardous,0,75.52
51233,1,10,300,2,405,238,0.793,122,petrol,4,13.6,1,1,standard,1,89.67
99476,5,9,500,2,44,260,0.52,308,petrol,2,13.7,1,1,standard,0,75.17
135815,7,9,300,2,353,292,0.973,8,petrol,3,13.2,0,1,hazardous,0,71.6
256639,10,6,1000,2,201,722,0.722,123,diesel,2,9.4,0,1,bulk,1,57.92
117841,4,5,800,2,139,710,0.888,69,petrol,4,11.8,0,0,bulk,1,69.51
185873,5,7,1500,2,268,946,0.631,1,diesel,3,14.9,0,1,standard,1,55.34
197172,8,9,800,3,163,567,0.709,4,petrol,3,19.3,1,1,standard,0,71.03
93896,4,6,800,2,32,348,0.435,201,diesel,4,12.8,1,1,refrigerated,0,54.46
164890,6,7,300,2,36,209,0.697,8,diesel,3,15,1,1,fragile,0,67.92
76722,2,10,800,3,378,572,0.715,86,diesel,4,17.7,1,1,standard,0,80.37
265059,11,3,500,1,375,451,0.902,66,petrol,3,11.5,1,0,hazardous,2,47.41
85091,5,10,1000,2,117,927,0.927,92,petrol,5,15.3,1,1,standard,0,80
21707,1,9,500,3,41,236,0.472,10,electric,4,17.8,1,1,bulk,1,63.69
79967,3,10,1500,2,39,1228,0.819,141,diesel,4,13.9,1,0,standard,1,81.8
31904,0,10,800,3,194,392,0.49,14,diesel,5,16.7,1,1,bulk,1,66.29
229681,9,4,1500,2,309,953,0.635,41,diesel,1,13.5,1,0,standard,1,51.06
12480,1,10,800,3,41,375,0.469,50,diesel,5,20.1,1,0,bulk,0,72.6
174772,6,6,500,2,440,369,0.738,7,petrol,3,9.9,0,1,standard,1,70.18
52305,2,8,800,1,95,468,0.585,57,diesel,5,8.1,0,0,standard,0,80.34
39952,0,10,800,2,388,747,0.934,56,diesel,4,9.6,1,1,fragile,0,82.41
39198,1,10,800,2,164,530,0.662,112,petrol,4,14,0,1,standard,1,82.76
270101,11,3,500,2,202,347,0.694,3,diesel,2,12.9,1,1,standard,0,46.12
160136,5,7,1000,2,234,511,0.511,34,petrol,4,14.7,1,0,refrigerated,0,63.31
45657,2,9,300,2,389,204,0.68,176,electric,3,11.4,1,0,fragile,2,73.35
205235,8,6,300,1,57,166,0.553,38,diesel,3,7.3,1,1,bulk,3,58.27
60095,2,10,500,2,401,256,0.512,26,diesel,4,12.7,1,1,hazardous,0,82.82
251746,9,5,800,3,288,569,0.711,18,diesel,3,19.2,1,1,standard,0,57.01
101874,3,10,300,2,273,288,0.96,103,petrol,3,13.4,1,0,bulk,0,71.71
127725,4,9,500,2,170,403,0.806,16,petrol,4,13,1,0,standard,2,79.89
271238,9,4,500,1,482,247,0.494,21,petrol,2,10.1,0,1,bulk,2,37.08
258384,11,6,1500,2,211,1225,0.817,31,diesel,3,12.7,0,0,fragile,1,57.42
226753,8,7,800,2,461,731,0.914,25,petrol,3,12.6,0,1,standard,1,54.18
204035,7,5,500,2,168,380,0.76,62,petrol,1,12.7,1,1,hazardous,1,61
66995,2,7,800,2,408,364,0.455,4,diesel,4,12.8,1,0,refrigerated,2,65.22
114257,4,9,300,2,326,293,0.977,54,diesel,4,12.6,1,1,fragile,0,73.32
185535,7,8,300,3,202,190,0.633,98,diesel,2,17.8,1,1,standard,1,54.22
280653,11,9,300,3,489,266,0.887,68,diesel,3,17.8,0,0,standard,0,61.61
118458,1,10,500,2,449,218,0.436,54,petrol,4,12.8,1,1,standard,0,69.02
201364,9,7,500,3,58,430,0.86,42,diesel,3,18.9,0,1,standard,1,62.61
211194,7,7,800,2,211,708,0.885,17,diesel,2,12.3,1,1,refrigerated,0,68.49
210827,8,7,500,3,441,225,0.45,63,diesel,4,18,1,1,standard,1,47
127267,4,10,500,3,193,201,0.402,19,petrol,3,15.2,1,1,refrigerated,0,60.64
80939,3,10,1500,1,396,961,0.641,17,diesel,3,8.9,1,1,fragile,1,74.37
119954,3,6,500,1,68,489,0.978,1,petrol,3,8.9,0,0,hazardous,1,64.43
261418,9,5,300,1,303,280,0.933,94,diesel,3,7.6,1,0,bulk,0,56.61
199432,6,9,800,2,481,758,0.948,69,diesel,2,13.6,0,1,bulk,1,62.15
161920,6,6,500,2,474,325,0.65,99,electric,3,12.6,0,1,standard,1,59.09
87405,4,9,800,2,224,781,0.976,9,electric,3,13,1,1,standard,0,72.49
165622,7,8,800,2,386,769,0.961,31,diesel,3,13.5,1,0,standard,0,64.62
186732,6,5,1000,2,118,519,0.519,82,diesel,2,13.3,1,1,fragile,1,53.38
60317,2,7,1000,2,260,811,0.811,1,diesel,4,15.6,1,1,hazardous,1,81.54
41259,1,9,500,2,209,398,0.796,15,electric,4,12.9,1,1,fragile,0,86.57
